index,questions
1,Préfères-tu vivre dans une grande ville animée ou dans un village tranquille ?
2,Aimes-tu mieux voyager à la montagne ou à la plage ?
3,Préfères-tu lire un livre ou regarder un film ?
4,"Si tu pouvais choisir un seul plat à manger pour le reste de ta vie, lequel choisirais-tu ?"
5,Préfères-tu travailler seul ou en équipe ?
6,Aimes-tu plus l'hiver froid ou l'été chaud ?
7,Préfères-tu les animaux de compagnie comme les chats ou les chiens ?
8,Préfères-tu les vacances d’été ou celles d’hiver ?
9,"Si tu pouvais choisir entre la richesse et la célébrité, que choisirais-tu ?"
10,Préfères-tu les sorties en plein air ou rester à la maison ?
